City_ID,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saldanha,-33.0117,17.9442,19.03,57,94,4.37,ZA,1745008253
1,borogontsy,62.6683,131.1683,-7.96,96,86,1.52,RU,1745008254
2,albany,42.6001,-73.9662,20.36,30,100,1.79,US,1745008255
3,waitangi,-43.9535,-176.5597,16.01,94,99,3.13,NZ,1745008256
4,grytviken,-54.2811,-36.5092,2.35,76,70,2.97,GS,1745008257
5,stanley,54.868,-1.6985,7.51,84,20,4.63,GB,1745008258
6,port-cartier,50.0334,-66.8654,4.74,68,100,2.88,CA,1745008259
7,wailua homesteads,22.0669,-159.378,23.96,84,75,3.09,US,1745008261
8,papao,-17.75,-149.55,28.82,78,100,1.23,PF,1745008262
9,jamestown,42.097,-79.2353,23.01,50,100,10.29,US,1745008259
10,kargil,34.5667,76.1,0.57,60,98,2.28,IN,1745008264
11,olonkinbyen,70.9221,-8.7187,-5.28,56,37,1.23,SJ,1745008265
12,talnakh,69.4865,88.3972,-20.71,95,72,0.33,RU,1745008267
13,chipinge,-20.1883,32.6236,15.16,77,99,1.64,ZW,1745008268
14,badger,64.8,-147.5333,6.31,65,75,5.14,US,1745008270
15,whitehorse,60.7161,-135.0538,5.57,35,75,5.66,CA,1745008271
16,avarua,-21.2078,-159.775,24.03,78,75,6.17,CK,1745008272
17,adamstown,-25.066,-130.1015,24.61,85,100,6.7,PN,1745008273
18,iqaluit,63.7506,-68.5145,-2.15,68,100,6.71,CA,1745008274
19,igarka,67.4667,86.5833,-19.38,100,100,2.82,RU,1745008275
20,klyuchi,52.2667,79.1667,-2.03,76,29,5.55,RU,1745008276
21,ushuaia,-54.8,-68.3,9.81,62,75,1.54,AR,1745008277
22,yellowknife,62.456,-114.3525,4.12,81,100,8.75,CA,1745008038
23,brookings,44.3114,-96.7984,11.21,42,75,8.75,US,1745008280
24,hawaiian paradise park,19.5933,-154.9731,27.79,66,20,4.12,US,1745008281
25,kodiak,57.79,-152.4072,4.73,56,20,4.63,US,1745008282
26,fort st. john,56.2499,-120.8529,15.94,21,75,8.75,CA,1745008283
27,thompson,55.7435,-97.8558,-2.91,46,75,4.63,CA,1745008284
28,andradas,-22.0681,-46.5692,20.91,85,100,1.79,BR,1745008285
29,bethel,41.3712,-73.414,18.43,37,0,4.63,US,1745008287
30,port-aux-francais,-49.35,70.2167,4.24,63,99,12.84,TF,1745008289
31,aasiaat,68.7098,-52.8699,-2.86,89,100,2.4,GL,1745008290
32,hermanus,-34.4187,19.2345,20.0,47,100,1.72,ZA,1745008291
33,sumenep,-7.0167,113.8667,24.91,91,100,2.24,ID,1745008292
34,papatowai,-46.5619,169.4708,14.16,92,100,1.5,NZ,1745008293
35,codrington,-38.2667,141.9667,16.68,77,100,5.1,AU,1745008294
36,nagqu,31.5,92.0,-2.85,41,0,1.95,CN,1745008295
37,beira,-19.8436,34.8389,25.05,88,100,4.63,MZ,1745008297
38,kudahuvadhoo,2.6708,72.8944,28.86,72,91,4.44,MV,1745008299
39,puerto natales,-51.7236,-72.4875,13.25,47,75,7.72,CL,1745008300
40,saipan,15.1355,145.701,27.39,78,40,6.69,MP,1745008301
41,santa maria,-29.6842,-53.8069,28.61,61,20,2.06,BR,1745008081
42,bredasdorp,-34.5322,20.0403,19.1,56,42,1.28,ZA,1745008306
43,ribeira grande,38.5167,-28.7,17.22,67,20,3.58,PT,1745008307
44,college,64.8569,-147.8028,6.36,62,75,5.14,US,1745008308
45,tacuarembo,-31.7333,-55.9833,23.44,65,0,4.73,UY,1745008309
46,afif,23.9065,42.9172,23.2,21,71,7.62,SA,1745008310
47,borodulikha,50.7184,80.9295,-0.02,81,100,5.9,KZ,1745008311
48,udachny,66.4167,112.4,1.13,94,100,5.33,RU,1745008312
49,isafjordur,66.0755,-23.124,-1.5,80,21,1.0,IS,1745008313
50,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,86,0,3.0,RU,1745008314
51,hamilton,39.1834,-84.5333,27.69,45,0,8.23,US,1745008316
52,torbat-e heydariyeh,35.274,59.2195,6.79,63,37,2.99,IR,1745008317
53,danville,36.586,-79.395,27.38,38,0,5.36,US,1745008318
54,bilibino,68.0546,166.4372,-12.73,93,99,1.46,RU,1745008319
55,cole harbour,44.6724,-63.4751,13.66,46,45,3.33,CA,1745008320
56,colonia menno,-22.3667,-59.8167,28.35,80,57,1.75,PY,1745008322
57,marsabit,2.3284,37.9899,18.45,83,93,1.48,KE,1745008323
58,majuro,7.0897,171.3803,27.98,83,75,4.12,MH,1745008325
59,utrik,11.2278,169.8474,26.99,72,20,7.39,MH,1745008326
60,vorgashor,67.5833,63.95,-17.7,100,100,2.51,RU,1745008327
61,mejit,10.2753,170.8646,26.71,71,71,6.48,MH,1745008328
62,fortuna,40.5982,-124.1573,18.85,66,47,0.89,US,1745008329
63,knyaze-volkonskoye,48.4642,135.4567,6.19,87,100,3.64,RU,1745008330
64,hampton bays,40.869,-72.5176,13.81,70,81,4.47,US,1745008331
65,port mathurin,-19.6833,63.4167,27.25,77,33,8.4,MU,1745008332
66,puerto ayora,-0.7393,-90.3518,26.97,94,99,2.24,EC,1745008333
67,khandyga,62.6667,135.6,-9.19,88,37,1.48,RU,1745008334
68,saudarkrokur,65.7461,-19.6394,0.82,75,28,1.67,IS,1745008336
69,punta arenas,-53.15,-70.9167,11.06,71,75,6.69,CL,1745008337
70,tadine,-21.55,167.8833,23.34,69,27,1.0,NC,1745008338
71,sandikli,38.4647,30.2695,11.77,65,83,1.41,TR,1745008340
72,sorong,-0.8833,131.25,26.41,83,100,1.63,ID,1745008341
73,santa terezinha,-29.9002,-50.0904,25.29,81,6,2.81,BR,1745008342
74,acarau,-2.8856,-40.12,27.2,78,85,4.53,BR,1745008344
75,georgetown,5.4112,100.3354,27.96,93,20,2.24,MY,1745008345
76,jiuquan,39.7432,98.5174,12.96,20,99,3.33,CN,1745008346
77,hirara,24.8,125.2833,22.92,94,75,4.63,JP,1745008347
78,tiksi,71.6872,128.8694,-8.1,94,100,1.59,RU,1745008348
79,melekeok village,7.4957,134.6367,27.31,83,75,2.57,PW,1745008349
80,ha tinh,18.3333,105.9,25.77,78,80,1.38,VN,1745008350
81,waiuku,-37.25,174.75,20.93,95,20,4.79,NZ,1745008351
82,chapadinha,-3.7417,-43.3603,27.88,72,55,2.68,BR,1745008352
83,sukuta,13.4103,-16.7082,22.01,83,5,4.63,GM,1745008353
84,masterton,-40.9597,175.6575,19.15,78,21,3.05,NZ,1745008355
85,maragogi,-9.0122,-35.2225,27.3,73,21,3.3,BR,1745008356
86,cockburn town,21.4612,-71.1419,25.22,75,0,9.96,TC,1745008357
87,jayapura,-2.5333,140.7,24.66,91,100,1.53,ID,1745008358
88,lebu,-37.6167,-73.65,12.23,79,67,7.85,CL,1745008359
89,port douglas,-16.4833,145.4667,24.69,88,99,4.85,AU,1745008361
90,mersa matruh,31.3525,27.2453,19.11,59,0,1.54,EG,1745008362
91,luderitz,-26.6481,15.1594,16.99,74,24,1.41,NA,1745008363
92,jonuta,18.0833,-92.1333,37.14,21,25,6.93,MX,1745008365
93,la passe,45.5549,-0.8967,14.47,87,82,6.79,FR,1745008366
94,hastings,50.8552,0.5729,13.28,82,100,6.89,GB,1745008367
95,tazacorte,28.629,-17.9293,18.54,90,20,4.12,ES,1745008368
96,pathein,16.7833,94.7333,26.47,81,5,2.53,MM,1745008369
97,margaret river,-33.95,115.0667,12.16,77,82,2.1,AU,1745008133
98,whittlesey,52.558,-0.1302,11.7,66,100,6.5,GB,1745008371
99,menomonie,44.8755,-91.9193,12.02,82,100,6.17,US,1745008372
100,cabedelo,-6.9811,-34.8339,28.37,71,17,4.42,BR,1745008373
101,longyearbyen,78.2186,15.6401,-5.09,80,75,6.69,SJ,1745008375
102,el calafate,-50.3408,-72.2768,9.64,71,100,3.27,AR,1745008376
103,akrehamn,59.2667,5.1833,8.14,76,76,9.77,NO,1745008377
104,dudinka,69.4058,86.1778,-21.45,100,71,3.09,RU,1745008378
105,maputo,-25.9653,32.5892,19.82,73,40,4.12,MZ,1745008379
106,paracuru,-3.41,-39.0306,26.51,77,100,3.51,BR,1745008380
107,ola,59.5833,151.2833,-3.91,75,0,3.63,RU,1745008381
108,merizo village,13.2658,144.6691,27.31,83,97,6.53,GU,1745008382
109,guangyuan,32.442,105.823,16.22,65,67,2.53,CN,1745008384
110,igrim,63.1906,64.4162,-5.59,89,100,2.09,RU,1745008385
111,tazovsky,67.4667,78.7,-17.66,99,92,4.11,RU,1745008386
112,selfoss,63.9331,-20.9971,4.77,54,3,0.9,IS,1745008387
113,nemuro,43.3236,145.575,2.61,98,100,6.1,JP,1745008388
114,tucano,-10.9631,-38.7867,30.38,42,8,5.69,BR,1745008389
115,berbera,10.4396,45.0143,27.63,78,8,0.25,SO,1745008390
116,edinburgh of the seven seas,-37.0676,-12.3116,15.45,73,64,7.44,SH,1745008391
117,horta,38.5333,-28.6333,16.8,81,20,3.58,PT,1745008392
118,tirthahalli,13.7,75.2333,21.16,96,83,1.94,IN,1745008394
119,richards bay,-28.783,32.0377,18.99,74,100,1.07,ZA,1745008395
120,fort bragg,35.139,-79.006,28.23,42,20,5.66,US,1745008396
121,balimila,18.25,82.1333,26.8,61,33,0.79,IN,1745008397
122,alotau,-10.3069,150.4462,24.59,97,100,0.65,PG,1745008398
123,poletayevo,55.0336,61.1138,3.89,82,100,6.54,RU,1745008399
124,pizarro,4.9533,-77.366,28.79,76,89,2.36,CO,1745008400
125,blackmans bay,-43.0167,147.3167,14.07,91,91,0.89,AU,1745008401
126,dubrovytsya,51.5744,26.565,14.67,65,2,4.37,UA,1745008403
127,cabo san lucas,22.8909,-109.9124,28.17,44,100,2.06,MX,1745008183
128,qaqortoq,60.7167,-46.0333,3.5,63,100,5.03,GL,1745008405
129,lesnoy,57.6198,63.0784,-1.14,95,100,3.93,RU,1745008358
130,invercargill,-46.4,168.35,11.68,99,99,0.45,NZ,1745008407
131,island harbour,50.724,-1.2758,11.52,91,100,3.13,GB,1745008408
132,port blair,11.6667,92.75,27.49,80,32,2.51,IN,1745008409
133,magdagachi,53.45,125.8,1.33,95,100,1.82,RU,1745008410
134,zhangye,38.9342,100.4517,12.64,23,65,3.45,CN,1745008411
135,lensk,60.7253,114.9278,-2.4,95,7,1.3,RU,1745008413
136,tinajo,29.0788,-13.7081,18.49,63,40,7.72,ES,1745008414
137,carutapera,-1.195,-46.02,25.93,84,100,2.91,BR,1745008415
138,salinopolis,-0.6136,-47.3561,26.56,84,100,4.3,BR,1745008416
139,sitka,57.0531,-135.33,5.94,81,100,4.12,US,1745008417
140,lihue,21.9789,-159.3672,24.3,78,75,3.09,US,1745008418
141,west island,-12.1568,96.8225,26.99,83,100,7.72,CC,1745008419
142,ilulissat,69.2167,-51.1,-0.99,69,75,2.06,GL,1745008420
143,sortavala,61.7053,30.6918,7.29,98,99,1.43,RU,1745008421
144,lamu,-2.2717,40.902,27.36,80,36,4.89,KE,1745008423
145,el porvenir,13.7617,-87.3458,34.99,29,0,5.24,HN,1745008424
146,les cayes,18.2,-73.75,29.77,55,0,7.3,HT,1745008425
147,acapulco de juarez,16.8634,-99.8901,29.9,62,40,4.12,MX,1745008175
148,puerto armuelles,8.2833,-82.8667,27.83,71,8,1.79,PA,1745008427
149,bikenibeu village,1.3673,173.1241,27.98,89,40,3.6,KI,1745008428
150,xilin hot,43.9667,116.0333,5.26,72,100,2.92,CN,1745008429
151,north bend,43.4065,-124.2243,24.58,48,0,6.69,US,1745008430
152,beyneu,45.3167,55.2,16.42,30,79,0.87,KZ,1745008431
153,raduzhny,62.0961,77.475,-10.16,93,100,4.38,RU,1745008433
154,dem'yanovo,60.3511,47.0842,8.95,94,64,2.82,RU,1745008434
155,port elizabeth,-33.918,25.5701,18.16,95,0,5.14,ZA,1745008435
156,kenai,60.5544,-151.2583,5.01,96,100,7.2,US,1745008436
157,marka,1.7159,44.7717,28.01,73,99,4.44,SO,1745008437
158,bella vista,36.4295,-94.2316,23.74,71,100,7.72,US,1745008280
159,itoman,26.1247,127.6694,20.61,94,100,4.12,JP,1745008306
160,peniche,39.3558,-9.3811,14.56,93,60,10.81,PT,1745008440
161,tarfaya,27.9358,-12.9218,18.45,81,42,9.12,MA,1745008441
162,baruun-urt,46.6806,113.2792,3.48,32,2,1.17,MN,1745008443
163,prince rupert,54.3161,-130.3201,8.05,75,75,7.72,CA,1745008444
164,haimen,23.1935,116.6142,23.62,95,91,3.41,CN,1745008445
165,sola,-13.8833,167.55,27.2,79,100,2.8,VU,1745008446
166,santa cruz,-17.8,-63.1667,30.03,74,40,7.2,BO,1745008230
167,cidade velha,14.9167,-23.6167,22.26,73,40,6.17,CV,1745008448
168,songkhla,6.8333,100.6667,24.76,95,19,0.78,TH,1745008449
169,afaahiti,-17.75,-149.2833,25.08,84,100,2.61,PF,1745008452
170,primero de mayo,-32.2552,-58.4228,22.99,64,27,6.51,AR,1745008453
171,malango,-2.9627,119.9001,17.97,95,90,1.19,ID,1745008454
172,chernyshevskiy,63.0128,112.4714,-3.19,96,98,1.69,RU,1745008455
173,solleftea,63.1667,17.2667,6.92,77,92,1.48,SE,1745008456
174,suntar,62.1444,117.6319,-1.87,93,15,2.28,RU,1745008457
175,atafu village,-8.5421,-172.5159,28.84,74,25,3.11,TK,1745008458
176,tofol,5.3248,163.0078,27.64,80,85,8.75,FM,1745008459
177,tres arroyos,-38.3739,-60.2798,13.38,60,76,5.85,AR,1745008460
178,tamanrasset,22.785,5.5228,25.95,9,0,2.57,DZ,1745008462
179,carnarvon,-24.8667,113.6333,20.24,51,0,8.78,AU,1745008463
180,kargasok,59.0556,80.8572,-6.29,64,100,5.27,RU,1745008465
181,usogorsk,63.4106,48.6872,4.15,99,100,3.6,RU,1745008466
182,arteche,12.2645,125.4048,25.88,87,99,3.38,PH,1745008467
183,tongchuanshi,35.0806,109.0897,12.23,55,14,2.02,CN,1745008468
184,suoyarvi,62.0833,32.35,7.19,97,80,1.92,RU,1745008469
185,bullhead city,35.1478,-114.5683,22.82,37,83,1.79,US,1745008471
186,tongliao,43.6125,122.2653,8.32,50,100,2.94,CN,1745008472
187,yabelo,4.8833,38.0833,16.3,86,100,2.47,ET,1745008473
188,gray,35.4167,-100.802,13.89,36,100,3.52,US,1745008474
189,bereznik,62.8551,42.7072,10.11,88,69,3.29,RU,1745008475
190,happy valley-goose bay,53.3168,-60.3315,5.17,56,75,7.72,CA,1745008476
191,saint-pierre,-21.3393,55.4781,24.82,78,40,3.6,RE,1745008477
192,inozemtsevo,44.0926,43.0911,6.92,71,0,5.0,RU,1745008478
193,chibougamau,49.9168,-74.3659,0.79,93,100,5.14,CA,1745008479
194,quellon,-43.1167,-73.6167,11.25,78,84,4.0,CL,1745008481
195,ancud,-41.8697,-73.8203,12.39,74,80,1.68,CL,1745008482
196,pangai,-19.8,-174.35,26.06,89,100,7.72,TO,1745008483
197,anadyr,64.75,177.4833,-10.72,85,75,2.0,RU,1745008484
198,karratha,-20.7377,116.8463,25.97,33,0,2.13,AU,1745008485
199,tomatlan,19.9333,-105.25,31.78,34,12,5.14,MX,1745008486
200,howrah,22.5892,88.3103,24.0,88,40,0.0,IN,1745008487
201,saint-joseph,-21.3667,55.6167,24.21,82,18,4.28,RE,1745008488
202,puerto baquerizo moreno,-0.9,-89.6,28.55,74,75,5.14,EC,1745008489
203,dalnerechensk,45.9339,133.7225,4.47,95,30,2.97,RU,1745008491
204,port alfred,-33.5906,26.891,19.54,80,26,2.68,ZA,1745008492
205,tucuma,-0.1833,-50.05,27.16,80,75,3.64,BR,1745008493
206,morehead city,34.7229,-76.726,24.0,64,0,5.66,US,1745008494
207,meulaboh,4.1363,96.1285,26.14,83,76,0.32,ID,1745008495
208,gadzhiyevo,69.2551,33.3362,1.09,85,100,12.18,RU,1745008496
209,fale old settlement,-9.3852,-171.2468,28.51,73,45,2.61,TK,1745008497
210,remire-montjoly,4.9167,-52.2667,28.02,89,75,5.14,GF,1745008498
211,adamantina,-21.6853,-51.0725,21.76,93,100,3.34,BR,1745008499
212,yurgamysh,55.3714,64.4656,0.63,54,100,4.81,RU,1745008501
213,caleta de carquin,-11.0925,-77.6267,21.6,77,99,4.24,PE,1745008502
214,uniontown,39.9001,-79.7164,27.77,30,23,1.79,US,1745008503
215,robertsport,6.7533,-11.3686,27.47,86,58,3.52,LR,1745008504
216,tura,25.5198,90.2201,21.06,85,100,1.31,IN,1745008505
217,jinxiang,27.4327,120.6062,19.96,94,99,1.8,CN,1745008506
218,rongelap,11.1635,166.8941,27.28,74,44,8.19,MH,1745008507
219,walvis bay,-22.9575,14.5053,14.53,88,7,2.57,NA,1745008508
220,yendi,9.4427,-0.0099,28.43,60,84,4.87,GH,1745008510
221,ahar,38.4774,47.0699,4.19,71,99,1.52,IR,1745008511
222,rampur,28.8167,79.0333,27.28,49,36,2.64,IN,1745008512
223,shuangyang,43.5242,125.6736,7.98,58,100,3.11,CN,1745008513
224,pisco,-13.7,-76.2167,23.03,64,0,3.6,PE,1745008514
225,qashyr,53.0675,76.1036,-2.3,52,31,5.75,KZ,1745008515
226,barjala,23.6167,91.3667,24.13,89,93,0.67,IN,1745008516
227,la foa,-21.7108,165.8276,22.35,75,73,0.82,NC,1745008517
228,baker city,44.7749,-117.8344,13.8,18,0,1.54,US,1745008518
229,lusambo,-4.9667,23.45,21.01,99,100,0.92,CD,1745008520
230,ghat,24.9647,10.1728,29.69,12,1,5.45,LY,1745008521
231,kalmunai,7.4167,81.8167,27.05,83,85,1.53,LK,1745008522
232,east london,-33.0153,27.9116,20.05,73,23,8.73,ZA,1745008524
233,ranau,5.9538,116.6641,21.4,96,82,0.43,MY,1745008525
234,vila velha,-20.3297,-40.2925,25.97,83,75,3.6,BR,1745008526
235,margate,51.3813,1.3862,12.61,70,100,0.89,GB,1745008239
236,susuman,62.7833,148.1667,-13.53,96,88,0.96,RU,1745008529
237,sur,22.5667,59.5289,29.61,41,0,4.15,OM,1745008530
238,rawai,7.7797,98.3253,27.89,81,66,5.57,TH,1745008531
239,port saint john's,-31.6229,29.5448,19.57,78,88,5.38,ZA,1745008532
240,nar'yan-mar,67.6713,53.087,-0.29,95,100,8.3,RU,1745008534
241,st. john's,47.5649,-52.7093,7.38,72,75,7.72,CA,1745008536
242,nashville,36.1659,-86.7844,28.73,47,0,7.2,US,1745008537
243,oum hadjer,13.2954,19.6966,31.38,7,42,4.4,TD,1745008538
244,barra de santo antonio,-9.4047,-35.5072,27.6,69,3,3.49,BR,1745008539
245,vung tau,10.346,107.0843,27.11,79,100,3.65,VN,1745008540
246,matias barbosa,-21.8692,-43.3194,21.77,90,100,1.48,BR,1745008541
247,siwa oasis,29.2041,25.5195,24.5,16,10,1.16,EG,1745008542
248,hadibu,12.65,54.0333,26.58,64,0,0.76,YE,1745008543
249,sikonge,-5.6333,32.7667,20.53,78,78,1.46,TZ,1745008544
250,lompoc,34.6391,-120.4579,18.23,66,0,8.23,US,1745008546
251,noumea,-22.2763,166.4572,25.0,99,43,2.45,NC,1745008547
252,kasongo-lunda,-6.4667,16.8167,20.57,97,20,0.39,CD,1745008549
253,kzyltu,53.6364,72.3414,-2.62,52,0,2.53,KZ,1745008550
254,ak'ordat,15.5486,37.8867,31.36,38,65,6.7,ER,1745008551
255,inyonga,-6.7167,32.0667,18.91,91,100,1.84,TZ,1745008552
256,kibondo,-3.5864,30.7203,16.98,95,100,2.01,TZ,1745008553
257,kerikeri,-35.2268,173.9474,21.06,93,70,4.47,NZ,1745008554
258,lerwick,60.1545,-1.1494,6.31,74,14,3.56,GB,1745008557
259,singarayakonda,15.25,80.0333,27.95,86,23,5.24,IN,1745008558
260,nova sintra,14.8667,-24.7167,21.7,81,0,11.13,CV,1745008559
261,san patricio,28.017,-97.5169,27.97,64,100,10.71,US,1745008560
262,keetmanshoop,-26.5833,18.1333,23.51,43,31,1.54,NA,1745008561
263,new amsterdam,6.25,-57.5167,27.65,81,40,2.77,GY,1745008562
264,ayios konstandinos,38.6333,21.4,14.8,79,1,1.8,GR,1745008563
265,sinabang,2.4803,96.3801,26.72,84,88,1.55,ID,1745008565
266,tottenham,-32.2333,147.35,15.1,43,99,3.07,AU,1745008566
267,tual,-5.6667,132.75,28.44,75,91,3.42,ID,1745008567
268,port lincoln,-34.7333,135.8667,20.3,71,100,5.49,AU,1745008568
269,mount isa,-20.7333,139.5,15.87,88,78,0.0,AU,1745008569
270,berdigestyakh,62.0989,126.6992,-5.4,97,62,2.16,RU,1745008570
271,tindouf,27.6711,-8.1474,28.25,13,3,3.09,DZ,1745008571
272,princeville,45.7668,-61.2985,9.17,51,0,4.47,CA,1745008572
273,kapuskasing,49.4169,-82.4331,4.05,100,100,3.09,CA,1745008574
274,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1745008575
275,dunedin,-45.8742,170.5036,14.04,93,100,2.62,NZ,1745008576
276,aldan,58.6031,125.3894,-6.99,91,85,1.96,RU,1745008577
277,brandon,27.9378,-82.2859,32.25,42,40,4.12,US,1745008578
278,cova figueira,14.8905,-24.2934,16.81,79,0,7.04,CV,1745008579
279,bayanaul,50.7889,75.6956,-4.11,73,100,5.4,KZ,1745008580
280,nago,26.5881,127.9761,19.89,90,100,4.34,JP,1745008581
281,kavaratti,10.5669,72.642,28.56,68,17,2.8,IN,1745008583
282,yeraliyev,43.2,51.65,14.55,49,5,2.99,KZ,1745008584
283,nuuk,64.1835,-51.7216,2.34,69,75,3.6,GL,1745008585
284,brokopondo,4.75,-55.1667,27.15,84,60,3.59,SR,1745008587
285,bhamo,24.2667,97.2333,20.45,83,60,0.46,MM,1745008588
286,laojunmiao,39.8333,97.7333,11.44,21,100,1.97,CN,1745008589
287,kuanda,56.3161,116.0806,-2.54,79,1,1.13,RU,1745008590
288,yaroslavskiy,44.1683,132.2072,4.91,82,100,2.53,RU,1745008592
289,fortaleza,-3.7227,-38.5247,29.07,74,20,4.12,BR,1745008593
290,enewetak,11.3474,162.3373,27.42,75,91,8.88,MH,1745008594
291,guerrero negro,27.9769,-114.0611,19.8,53,0,7.58,MX,1745008595
